location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date,price_per_sqft,amenity_score,month
Kileleshwa,Apartment,4,5,2906.28,Parking (2),24500000,2026-02-18,8430.020507315192,1,2
Westlands,Townhouse,4,5,1044.11,Parking (3),85000000,2026-02-18,81409.04693949872,1,2
Westlands,Apartment,2,3,96.88,Parking (2),14000000,2026-02-18,144508.67052023122,1,2
Westlands,Apartment,1,1,559.73,Parking (1),6440000,2026-02-18,11505.54731745663,1,2
Syokimau,Apartment,3,4,548.96,Parking (2),11500000,2026-02-18,20948.70300204022,1,2
Kilimani,Apartment,1,1,301.39,Parking (1),10500000,2026-02-18,34838.581240253494,1,2
Westlands,Apartment,5,6,2852.46,Parking (4),35000000,2026-02-18,12270.110711456076,1,2
Westlands,Apartment,1,1,441.32,Parking (1),5880000,2026-02-18,13323.665367533762,1,2
Westlands,Apartment,3,4,1722.24,Parking (2),24610000,2026-02-18,14289.529914529914,1,2
Westlands,Townhouse,4,5,2292.73,Parking (2),31000000,2026-02-18,13520.99898374427,1,2
Westlands,Apartment,2,2,1011.82,Parking (2),12600000,2026-02-18,12452.807811666105,1,2
Westlands,Apartment,1,1,592.02,Parking (1),8100000,2026-02-18,13681.970203709334,1,2
Runda,House,4,6,3767.4,Parking (4),53000000,2026-02-18,14068.057546318416,1,2
Runda,House,4,5,3767.4,Parking (4),53000000,2026-02-18,14068.057546318416,1,2
Westlands,Apartment,1,1,753.48,Parking (1),9200000,2026-02-18,12210.01221001221,1,2
Westlands,Apartment,3,3,1722.24,Parking (7),24400000,2026-02-18,14167.59568933482,1,2
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-18,14167.59568933482,1,2
Lavington,House,5,6,4305.6,Parking (3),69000000,2026-02-18,16025.641025641024,1,2
Spring Valley,Apartment,3,4,43.06,Parking (2),23100000,2026-02-18,536460.7524384579,1,2
Westlands,Apartment,1,1,441.32,Parking (1),5800000,2026-02-18,13142.391008791807,1,2
Westlands,Apartment,1,1,753.48,Parking (1),8800000,2026-02-18,11679.142113924723,1,2
Westlands,Apartment,2,2,1227.1,Parking (1),13000000,2026-02-18,10594.083611767583,1,2
Kiambu Road,House,4,5,3229.2,Parking (5),35000000,2026-02-18,10838.597795119535,1,2
Runda,House,4,5,3229.2,Parking (5),35000000,2026-02-18,10838.597795119535,1,2
Lavington,Townhouse,5,6,4305.6,Parking (3),69000000,2026-02-18,16025.641025641024,1,2
Lavington,Townhouse,5,6,4843.8,Parking (3),70000000,2026-02-18,14451.463726826045,1,2
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-18,11281.064401605894,1,2
Lavington,Townhouse,5,6,9687.6,Parking (5),220000000,2026-02-18,22709.44299929807,1,2
Lavington,House,5,6,9687.6,Parking (5),220000000,2026-02-18,22709.44299929807,1,2
Kilimani,Apartment,2,2,1259.39,Parking (1),14700000,2026-02-18,11672.31755056019,1,2
Kileleshwa,Apartment,2,3,1184.04,Parking (1),9000000,2026-02-18,7601.094557616297,1,2
Kileleshwa,Apartment,3,3,1463.9,Parking (2),12500000,2026-02-18,8538.834619851083,1,2
Riverside,Apartment,2,2,527.44,Parking (2),28000000,2026-02-18,53086.60700743212,1,2
Westlands,Apartment,4,5,3788.93,Parking (3),32900000,2026-02-18,8683.190241044305,1,2
Kilimani,Apartment,3,3,1722.24,Parking (2),17800000,2026-02-18,10335.37718320327,1,2
